source_entry_id,normalized_text,reason
cet2016-p021-r03-c1,abbreviation,cet6_head_row
cet2016-p021-r04-c1,abide,cet6_head_row
cet2016-p021-r06-c1,abnormal,cet6_head_row
cet2016-p021-r09-c1,abort,cet6_head_row
cet2016-p021-r09-c2,abortion,cet6_head_row
cet2016-p021-r12-c1,abreast,cet6_head_row
cet2016-p021-r14-c1,abrupt,cet6_head_row
cet2016-p021-r19-c1,absurd,cet6_head_row
cet2016-p021-r19-c2,absurdity,cet6_head_row
cet2016-p021-r27-c1,accessory,cet6_head_row
cet2016-p021-r29-c1,acclaim,cet6_head_row
cet2016-p022-r11-c1,activate,cet6_head_row
cet2016-p022-r15-c1,acupuncture,cet6_head_row
cet2016-p022-r22-c1,adhere,cet6_head_row
cet2016-p022-r22-c2,adherence,cet6_head_row
cet2016-p022-r23-c1,adjacent,cet6_head_row
cet2016-p022-r29-c1,adolescent,cet6_head_row
cet2016-p022-r29-c2,adolescence,cet6_head_row
cet2016-p022-r31-c1,adore,cet6_head_row
cet2016-p022-r31-c2,adorable,cet6_head_row
cet2016-p022-r35-c1,advent,cet6_head_row
cet2016-p022-r38-c1,adversary,cet6_head_row
cet2016-p022-r39-c1,adverse,cet6_head_row
cet2016-p022-r39-c2,adversity,cet6_head_row
cet2016-p023-r03-c1,aesthetic,cet6_head_row
cet2016-p023-r03-c2,aesthetics,cet6_head_row
cet2016-p023-r07-c1,affiliate,cet6_head_row
cet2016-p023-r07-c2,affiliation,cet6_head_row
cet2016-p023-r08-c1,affirm,cet6_head_row
cet2016-p023-r08-c2,affirmation,cet6_head_row
cet2016-p023-r08-c3,affirmative,cet6_head_row
cet2016-p023-r09-c1,affix,cet6_head_row
cet2016-p023-r09-c2,affixation,cet6_head_row
cet2016-p023-r12-c1,afloat,cet6_head_row
cet2016-p023-r15-c1,aftermath,cet6_head_row
cet2016-p023-r23-c1,aggravate,cet6_head_row
cet2016-p023-r23-c2,aggravation,cet6_head_row
cet2016-p023-r24-c1,aggregate,cet6_head_row
cet2016-p023-r26-c1,agitate,cet6_head_row
cet2016-p023-r26-c2,agitation,cet6_head_row
cet2016-p023-r28-c1,agony,cet6_head_row
cet2016-p023-r33-c1,aide,cet6_head_row
cet2016-p023-r35-c1,ail,cet6_head_row
cet2016-p023-r35-c2,ailment,cet6_head_row
cet2016-p023-r38-c1,airborne,cet6_head_row
cet2016-p024-r03-c1,akin,cet6_head_row
cet2016-p024-r07-c1,ale,cet6_head_row
cet2016-p024-r10-c1,alien,cet6_head_row
cet2016-p024-r10-c2,alienate,cet6_head_row
cet2016-p024-r10-c3,alienation,cet6_head_row
cet2016-p024-r11-c1,align,cet6_head_row
cet2016-p024-r11-c2,alignment,cet6_head_row
cet2016-p024-r16-c1,allergic,cet6_head_row
cet2016-p024-r16-c2,allergy,cet6_head_row
cet2016-p024-r17-c1,alleviate,cet6_head_row
cet2016-p024-r17-c2,alleviation,cet6_head_row
cet2016-p024-r19-c1,allocate,cet6_head_row
cet2016-p024-r19-c2,allocation,cet6_head_row
cet2016-p024-r20-c1,allot,cet6_head_row
cet2016-p024-r20-c2,allotment,cet6_head_row
cet2016-p024-r23-c1,alloy,cet6_head_row
cet2016-p024-r24-c1,allude,cet6_head_row
cet2016-p024-r24-c2,allusion,cet6_head_row
cet2016-p024-r25-c1,allure,cet6_head_row
