field_path,observed_types,occurrences,non_null_occurrences
entries[].batchId,string,30,30
entries[].collocations,array,30,30
entries[].definitionCn,string,30,30
entries[].etymologyMarkup,string,30,30
entries[].evidenceRefs,array,30,30
entries[].examples,array,30,30
entries[].longSentences,array,30,30
entries[].memoryMarkup,string,30,30
entries[].morphemes,array,30,30
entries[].pronunciation,string,30,30
entries[].relations,array,30,30
entries[].rootAffixAccumulation,string,30,30
entries[].rootAffixNotes,string,30,30
entries[].spelling,string,30,30
entries[].variants,array,30,30
entries[].wordId,string,30,30
entries[].wordOrder,number,30,30
