word_id,link_index,target_identifier,target_type,target_id
cet4-w-dcc6b6de5d3f3f80ff02,0,morph:root:la:act:do,root,cy-morph-6e8bfeb3ede6438a4b09
cet4-w-dcc6b6de5d3f3f80ff02,1,word:action,word,cet4-w-b4e76965b5a7943279ac
cet4-w-dcc6b6de5d3f3f80ff02,2,word:active,word,cet4-w-560e8b954a1a6e8c9768
cet4-w-dcc6b6de5d3f3f80ff02,3,word:actor,word,cet4-w-45384c5a5727e65aeb71
cet4-w-dcc6b6de5d3f3f80ff02,4,word:react,word,cet4-w-25dfe87120b7c0b3f123
cet4-w-b4e76965b5a7943279ac,0,word:act,word,cet4-w-dcc6b6de5d3f3f80ff02
cet4-w-b4e76965b5a7943279ac,1,morph:root:la:act:do,root,cy-morph-6e8bfeb3ede6438a4b09
cet4-w-b4e76965b5a7943279ac,2,morph:suffix:la:-ion:action_noun,suffix,cy-morph-30687993aea0753e18de
cet4-w-560e8b954a1a6e8c9768,0,word:act,word,cet4-w-dcc6b6de5d3f3f80ff02
cet4-w-560e8b954a1a6e8c9768,1,morph:root:la:act:do,root,cy-morph-6e8bfeb3ede6438a4b09
cet4-w-560e8b954a1a6e8c9768,2,morph:suffix:la:-ive:adjective_tendency,suffix,cy-morph-6c886b8d16357e103ca0
cet4-w-560e8b954a1a6e8c9768,3,word:activity,word,cet4-w-4ced4a567905ee623d9d
cet4-w-4ced4a567905ee623d9d,0,word:active,word,cet4-w-560e8b954a1a6e8c9768
cet4-w-4ced4a567905ee623d9d,1,morph:root:la:act:do,root,cy-morph-6e8bfeb3ede6438a4b09
cet4-w-4ced4a567905ee623d9d,2,morph:suffix:la:-ive:adjective_tendency,suffix,cy-morph-6c886b8d16357e103ca0
cet4-w-4ced4a567905ee623d9d,3,morph:suffix:la:-ity:abstract_quality,suffix,cy-morph-a89637be8e59c5f9e655
cet4-w-45384c5a5727e65aeb71,0,word:act,word,cet4-w-dcc6b6de5d3f3f80ff02
cet4-w-45384c5a5727e65aeb71,1,morph:suffix:la:-or:agent,suffix,cy-morph-36992902d5d922fc3483
cet4-w-45384c5a5727e65aeb71,2,morph:root:la:act:do,root,cy-morph-6e8bfeb3ede6438a4b09
cet4-w-25dfe87120b7c0b3f123,0,word:act,word,cet4-w-dcc6b6de5d3f3f80ff02
cet4-w-25dfe87120b7c0b3f123,1,morph:prefix:la:re-:back_again,prefix,cy-morph-01bd709dc1ff1449888b
cet4-w-25dfe87120b7c0b3f123,2,morph:root:la:act:do,root,cy-morph-6e8bfeb3ede6438a4b09
cet4-w-4336a9e7fc5d08328b8e,0,morph:base:en:able:capable,base,cy-morph-4c6d7b4a9dd01fe89b3b
cet4-w-4336a9e7fc5d08328b8e,1,word:ability,word,cet4-w-798668299e6f528c3725
