word_id,canonical_spelling,source_entry_id,entry_role,source_homograph_number,normalization_kind
cet4-w-22115abbb1dbe5b95403,a,cet2016-p021-r01-c1,headword,,distinct_lexemes
cet4-w-9287ba6d9732d3125de7,an,cet2016-p021-r01-c1,headword,,distinct_lexemes
cet4-w-bacdccd06e173fd821b1,abandon,cet2016-p021-r02-c1,headword,,literal
cet4-w-4336a9e7fc5d08328b8e,able,cet2016-p021-r05-c1,headword,,literal
cet4-w-798668299e6f528c3725,ability,cet2016-p021-r05-c2,listed_related,,literal
cet4-w-9d84219b0f257903f894,aboard,cet2016-p021-r07-c1,headword,,literal
cet4-w-b888b06eecfb1127e3bb,abolish,cet2016-p021-r08-c1,headword,,literal
cet4-w-74ca0e6dddfece3e09eb,abolition,cet2016-p021-r08-c2,listed_related,,literal
cet4-w-10ad00b3ccf681d53631,about,cet2016-p021-r10-c1,headword,,literal
cet4-w-90aa713e8ba73eb8b681,above,cet2016-p021-r11-c1,headword,,literal
cet4-w-901037a8628671fdfc19,abroad,cet2016-p021-r13-c1,headword,,literal
cet4-w-58351a181b08549dad1a,absent,cet2016-p021-r15-c1,headword,,literal
cet4-w-16cc55aac24767aa14bb,absence,cet2016-p021-r15-c2,listed_related,,literal
cet4-w-728ab43dd091b054e608,absolute,cet2016-p021-r16-c1,headword,,literal
cet4-w-4c1c8e3c067f577174b4,absorb,cet2016-p021-r17-c1,headword,,literal
cet4-w-a04d74b471996c660373,absorption,cet2016-p021-r17-c2,listed_related,,literal
cet4-w-056469f90b3da87387a9,abstract,cet2016-p021-r18-c1,headword,,literal
cet4-w-ff701617e9aaa921796f,abundant,cet2016-p021-r20-c1,headword,,literal
cet4-w-6637e09f7003f326c224,abundance,cet2016-p021-r20-c2,listed_related,,literal
cet4-w-b64c7215f2b60d098f09,abuse,cet2016-p021-r21-c1,headword,,literal
cet4-w-99b2e6fe3c2fe7bae70f,abusive,cet2016-p021-r21-c2,listed_related,,literal
cet4-w-552641985e4cd047e28b,academy,cet2016-p021-r22-c1,headword,,literal
cet4-w-adc37503995395872304,academic,cet2016-p021-r22-c2,listed_related,,literal
cet4-w-22dd7b5151742e07ab2b,academician,cet2016-p021-r22-c3,listed_related,,literal
cet4-w-ea78159e6b442c05331c,accelerate,cet2016-p021-r23-c1,headword,,literal
cet4-w-05e383312cbf7488687e,acceleration,cet2016-p021-r23-c2,listed_related,,literal
cet4-w-a74d5aaf2d89f72b022e,accent,cet2016-p021-r24-c1,headword,,literal
cet4-w-fe986222f5116ea3b17e,accept,cet2016-p021-r25-c1,headword,,literal
cet4-w-45d62199f67daa2d9ed8,acceptance,cet2016-p021-r25-c2,listed_related,,literal
cet4-w-6cd94ae4886768d442f2,acceptable,cet2016-p021-r25-c3,listed_related,,literal
cet4-w-6884dbea1171da92f87d,access,cet2016-p021-r26-c1,headword,,literal
