word_id,word_order,canonical_spelling,variants_json,entry_kind,source_roles,source_count,first_source_entry_id,homograph_sources
cet4-w-22115abbb1dbe5b95403,1,a,[],word,headword,1,cet2016-p021-r01-c1,0
cet4-w-bacdccd06e173fd821b1,2,abandon,[],word,headword,1,cet2016-p021-r02-c1,0
cet4-w-798668299e6f528c3725,3,ability,[],word,listed_related,1,cet2016-p021-r05-c2,0
cet4-w-4336a9e7fc5d08328b8e,4,able,[],word,headword,1,cet2016-p021-r05-c1,0
cet4-w-9d84219b0f257903f894,5,aboard,[],word,headword,1,cet2016-p021-r07-c1,0
cet4-w-b888b06eecfb1127e3bb,6,abolish,[],word,headword,1,cet2016-p021-r08-c1,0
cet4-w-74ca0e6dddfece3e09eb,7,abolition,[],word,listed_related,1,cet2016-p021-r08-c2,0
cet4-w-10ad00b3ccf681d53631,8,about,[],word,headword,1,cet2016-p021-r10-c1,0
cet4-w-90aa713e8ba73eb8b681,9,above,[],word,headword,1,cet2016-p021-r11-c1,0
cet4-w-901037a8628671fdfc19,10,abroad,[],word,headword,1,cet2016-p021-r13-c1,0
cet4-w-16cc55aac24767aa14bb,11,absence,[],word,listed_related,1,cet2016-p021-r15-c2,0
cet4-w-58351a181b08549dad1a,12,absent,[],word,headword,1,cet2016-p021-r15-c1,0
cet4-w-728ab43dd091b054e608,13,absolute,[],word,headword,1,cet2016-p021-r16-c1,0
cet4-w-4c1c8e3c067f577174b4,14,absorb,[],word,headword,1,cet2016-p021-r17-c1,0
cet4-w-a04d74b471996c660373,15,absorption,[],word,listed_related,1,cet2016-p021-r17-c2,0
cet4-w-056469f90b3da87387a9,16,abstract,[],word,headword,1,cet2016-p021-r18-c1,0
cet4-w-6637e09f7003f326c224,17,abundance,[],word,listed_related,1,cet2016-p021-r20-c2,0
cet4-w-ff701617e9aaa921796f,18,abundant,[],word,headword,1,cet2016-p021-r20-c1,0
cet4-w-b64c7215f2b60d098f09,19,abuse,[],word,headword,1,cet2016-p021-r21-c1,0
cet4-w-99b2e6fe3c2fe7bae70f,20,abusive,[],word,listed_related,1,cet2016-p021-r21-c2,0
cet4-w-adc37503995395872304,21,academic,[],word,listed_related,1,cet2016-p021-r22-c2,0
cet4-w-22dd7b5151742e07ab2b,22,academician,[],word,listed_related,1,cet2016-p021-r22-c3,0
