word_id,exam_type,frequency_count,per_10k_words
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,cet6,28,1.0853
dad251fe-fa3a-420a-9a47-02bb73c9083d,cet6,95,3.6824
bb579196-8b02-4b50-b1bb-e12b8dd632cc,cet6,26,1.0078
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,cet6,21,0.814
23228a76-0482-4b5a-a9c0-4084908853cd,cet6,0,0
818f57a1-405d-4a86-82d2-b4f8fe024843,cet6,1,0.0388
d669f094-000d-4b69-b62c-882b59b154e4,cet6,271,10.5045
e29ff563-e1d4-4323-85bb-af6c38dd8ccc,cet6,0,0
91419fea-861e-4ab8-aae0-19725782dfe8,cet6,136,5.2716
7b8133a8-6649-427c-a979-34b206ddc2c9,cet6,48,1.8606
a9061134-fa96-4701-83b2-a2b40e1fa455,cet6,964,37.3665
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,cet6,2,0.0775
ed0aa2a8-4071-4e21-9031-170784ca82ba,cet6,11,0.4264
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,cet6,119,4.6127
01678d1e-cad6-4f77-8d51-3555e693184a,cet6,22,0.8528
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,cet6,23,0.8915
3d2cb9a3-0b11-4c3e-a0b9-8ad72732ab25,cet6,186,7.2097
6cf2668e-101a-4f7a-a287-eb07614fea0b,cet6,252,9.768
149a3e48-c4aa-4e05-8b47-4a0c107b4888,cet6,192,7.4423
6ccd24f7-ab9a-4722-911f-583315e1071a,cet6,95,3.6824
5bde7089-ec23-447e-9c99-0afd1c68a366,cet6,121,4.6902
b04b2bfd-c811-4daf-975f-2558361f4aac,cet6,68,2.6358
56d684a4-53dd-4d2f-a4aa-e62dc06fbda6,cet6,31,1.2016
ee509035-52e2-42d5-af8e-44cab931c3df,cet6,6,0.2326
a8e68251-3a7c-45d0-9f57-a60c3f700b6e,cet6,169,6.5508
0c1fa019-18fa-4762-89b3-7b2fb49ff7ef,cet6,13,0.5039
1b28da07-c470-4d29-8814-43f2774a878a,cet6,25,0.969
226e03a3-dcd5-4f9d-ae27-b04fc5517ab2,cet6,157,6.0856
f992f7ec-dad8-4ef6-9310-fb48bf3c3735,cet6,13,0.5039
4669a8db-7946-4e94-ac7f-ae26b740a5e9,cet6,24,0.9303
e6ada86c-cdcf-4b63-bbeb-093b0ca9f2ce,cet6,28,1.0853
f4ba8625-46be-47f9-ba0c-db387f938c67,cet6,120,4.6514
ca520c00-74a7-4609-975d-996331f58b31,cet6,259,10.0393
30b4d743-0169-4879-96e9-9482e229c6a3,cet6,390,15.1172
69701105-fe5a-4890-9c5e-cdf2d27fd130,cet6,140,5.4267
59519300-06d1-4e59-b262-af895315431f,cet6,10,0.3876
e5ac2120-27fe-42fe-832a-e9a332e4fc13,cet6,3,0.1163
8ac583e5-333c-46b6-be4d-d67a967385b5,cet6,15,0.5814
06113a1b-9c64-4741-88c2-8d6f07fd5339,cet6,46,1.783
8294469a-e205-4d16-871c-fe87c9a4a1e7,cet6,5,0.1938
1931e56d-5daf-4fe8-837b-c1330df9b4c3,cet6,7,0.2713
dd63b5fb-0630-4771-b9c8-61a65da20bde,cet6,3,0.1163
4b53b55f-3d7d-4824-8c78-e12ad3cee386,cet6,16,0.6202
29c5e590-bd90-4881-b45d-5c91388d69e7,cet6,138,5.3491
dedd6c70-ce50-4ed5-b110-8a12695b8fe1,cet6,995,38.5681
854e8119-ed2c-4af0-8a1d-30db5b702563,cet6,133,5.1553
395f0c6d-1c01-4538-94a1-f6d15488c3c8,cet6,87,3.3723
e7c93797-0833-40e6-b0db-eff1df71c656,cet6,262,10.1556
68ab6915-216f-4cb9-ac5b-f4770ae7bebd,cet6,88,3.4111
bf24a206-d6b8-4b58-bd08-aee22a3d5808,cet6,83,3.2172
84b42a02-b972-4109-ac42-7d04746f07c8,cet6,5356,207.609
f6ffe559-161c-4f13-9dfc-cfdaefcf9d4a,cet6,2,0.0775
e560a365-f384-48ea-bb0e-16f83cb10387,cet6,132,5.1166
a072ec55-08fe-4374-b5e6-d5a29eb1439b,cet6,93,3.6049
4a3458b5-0cb6-41ac-99d8-6254eacb5376,cet6,20,0.7752
dfc0fc95-d463-4a0e-b57f-97240bb3ee99,cet6,96,3.7211
57a78b1c-e985-4e8f-8fbc-486776feaf6c,cet6,115,4.4576
f981276c-6c25-491d-a65a-5132dd7699a0,cet6,110,4.2638
09de9eb6-5bde-44b4-81c1-5145759489af,cet6,35,1.3567
8f4dafed-ccc8-417e-adec-bc10c39d86ec,cet6,148,5.7368
49712486-7250-4285-8335-3214c46da5d8,cet6,15,0.5814
318796cf-b684-4a58-b945-2ddcc5609c55,cet6,11,0.4264
945877c0-c2a2-4071-81c1-454c3a957338,cet6,118,4.5739
c6f34070-157f-4643-b378-36d8ae16dd09,cet6,180,6.9771
4dab4c11-8ee4-443a-b76f-b51e0635e3ea,cet6,26,1.0078
97b485b0-9f36-4d4c-b17b-4f2306d5fb6f,cet6,43,1.6668
b43a9f9d-b11f-485f-8f57-e26adfe58791,cet6,132,5.1166
b3d3e1a5-d0b0-43c9-af63-7c04db3aee34,cet6,10,0.3876
36911b43-31e2-4d1d-8fcd-8d26a12012d6,cet6,90,3.4886
b0805971-d99c-41de-bb21-9d9ff49693a4,cet6,5,0.1938
443c4f81-060e-4551-aaac-16368efcbc88,cet6,91,3.5273
f511b2e0-e72d-4b5e-b9e3-202ed9d46351,cet6,87,3.3723
79b31af7-b49f-42d9-b595-8a463d7a022c,cet6,81,3.1397
bea0a00a-7b6a-42fe-8f94-29f8645199d4,cet6,0,0
149ffc3d-71e1-44dd-a403-b92ce9a6a0a5,cet6,96,3.7211
91dff230-2655-403b-8e7f-52fd78ec08aa,cet6,68,2.6358
04e2c888-2ea9-4b54-98ac-abdb9c754bff,cet6,68,2.6358
e2e76bc6-ac70-4680-a68e-64a85d9e5b50,cet6,82,3.1785
3c1f093c-3bca-4b0d-bec1-684e50dbe669,cet6,105,4.07
3c124513-6a6b-4b23-8593-9216c752b960,cet6,2,0.0775
ddcc579b-8efe-41f6-907e-a2235a56125a,cet6,69,2.6746
c9f296b0-f279-4ee8-9d96-341b61cdf520,cet6,16,0.6202
266f87e2-2d93-4ad2-a791-db3db12a0b98,cet6,84,3.256
664ad8e8-765c-4906-bffe-67c49bc501d0,cet6,88,3.4111
7219d316-4469-4b1a-bfcd-168b46cb8db9,cet6,27,1.0466
24c369d5-b60f-4de3-a957-094cd8a0e455,cet6,62,2.4032
4778cd3f-bc4f-4132-9328-d25bf386abdf,cet6,40,1.5505
fc4070f8-bf57-4626-aea1-1cb127778a1c,cet6,78,3.0234
62e398e8-e715-4c9e-bff5-b9159a72c167,cet6,2,0.0775
d787bb54-4ffb-4979-a9de-c3f62d260533,cet6,5,0.1938
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,cet6,43,1.6668
20321abf-6c52-4f20-b584-665077cb0581,cet6,79,3.0622
3e02e135-28cd-4d89-8216-dd4fad2cafb2,cet6,79,3.0622
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,cet6,21,0.814
f4e3f7a0-5902-4ce2-a010-4663b0af6b90,cet6,29,1.1241
accdbce8-733c-4bda-aebb-cfddc6ec0208,cet6,90,3.4886
60b2441a-5f64-4d9c-95df-ded5ef1760e4,cet6,76,2.9459
72cfda17-980d-453b-ada5-7f5f026cc6a1,cet6,13,0.5039
75e045e6-7ddf-4083-b80d-40cb2af374a5,cet6,87,3.3723
e82de23b-7ee6-47f2-8db6-bb367ebe1155,cet6,39,1.5117
e127cbaf-3f17-41f0-965d-5edd14b4cd7e,cet6,68,2.6358
2a6138d0-bac6-47eb-a241-6de56d59b0af,cet6,25,0.969
0b29638b-5869-4466-8371-597540ff1186,cet6,5,0.1938
