field_path,observed_types,occurrences,non_null_occurrences
books[].word_details[],object,5166,5166
books[].word_details[].collocations,array,5166,5166
books[].word_details[].collocations[],object,5993,5993
books[].word_details[].collocations[].example,null,5993,0
books[].word_details[].collocations[].id,string,5993,5993
books[].word_details[].collocations[].meaning,string,5993,5993
books[].word_details[].collocations[].phrase,string,5993,5993
books[].word_details[].detail,object,5166,5166
books[].word_details[].detail.access_policy,object,5166,5166
books[].word_details[].detail.access_policy.allowed,boolean,5166,5166
books[].word_details[].detail.access_policy.code,null,5166,0
books[].word_details[].detail.access_policy.is_expired,boolean,5166,5166
books[].word_details[].detail.access_policy.message,null,5166,0
books[].word_details[].detail.access_policy.permission_type,string,5166,5166
books[].word_details[].detail.access_policy.reason,string,5166,5166
books[].word_details[].detail.content,object,5166,5166
books[].word_details[].detail.content_type,string,5166,5166
books[].word_details[].detail.content.analysis_seen_marks,array,5166,5166
books[].word_details[].detail.content.audio_url,string,5166,5166
books[].word_details[].detail.content.definitions,string,5166,5166
books[].word_details[].detail.content.etymology_markup,null|string,5166,4877
books[].word_details[].detail.content.id,string,5166,5166
books[].word_details[].detail.content.markup_links,array,5166,5166
books[].word_details[].detail.content.markup_links[],object,27266,27266
books[].word_details[].detail.content.markup_links[].target_id,string,27266,27266
books[].word_details[].detail.content.markup_links[].target_identifier,string,27266,27266
books[].word_details[].detail.content.markup_links[].target_type,string,27266,27266
books[].word_details[].detail.content.memory_markup,string,5166,5166
books[].word_details[].detail.content.pronunciation,string,5166,5166
books[].word_details[].detail.content.relations,array,5166,5166
books[].word_details[].detail.content.relations[],object,2073,2073
books[].word_details[].detail.content.relations[].relation_type,string,2073,2073
books[].word_details[].detail.content.relations[].words,array,2073,2073
books[].word_details[].detail.content.relations[].words[],object,2317,2317
books[].word_details[].detail.content.relations[].words[].display_text,string,2317,2317
books[].word_details[].detail.content.relations[].words[].id,string,2317,2317
books[].word_details[].detail.content.relations[].words[].meaning,string,2317,2317
books[].word_details[].detail.content.relations[].words[].spelling,string,2317,2317
books[].word_details[].detail.content.root_affix_accumulation,null|string,5166,1326
books[].word_details[].detail.content.root_affix_notes,string,5166,5166
books[].word_details[].detail.content.root_markups,array,5166,5166
books[].word_details[].detail.content.root_markups[],object,12813,12813
books[].word_details[].detail.content.root_markups[].id,string,12813,12813
books[].word_details[].detail.content.root_markups[].markup_links,array,12813,12813
books[].word_details[].detail.content.root_markups[].markup_links[],object,3065,3065
