word_id,link_index,target_identifier,target_type,target_id
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,1,enter-基,base,9b608471-0944-467d-9c9b-c3fdea0e1f2c
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,2,entry,word,c074273b-51d5-496b-af22-f22518272748
dad251fe-fa3a-420a-9a47-02bb73c9083d,1,-t,suffix,902260c2-0a41-46d9-8130-90955ee5437e
dad251fe-fa3a-420a-9a47-02bb73c9083d,2,eat-基,base,564ce2bf-a7f2-42ac-a3fd-0a9d23c2d93d
bb579196-8b02-4b50-b1bb-e12b8dd632cc,1,eat,word,dad251fe-fa3a-420a-9a47-02bb73c9083d
bb579196-8b02-4b50-b1bb-e12b8dd632cc,2,-l,suffix,f6f7fa2a-d8cb-4fb3-86e9-abd0b53335ac
bb579196-8b02-4b50-b1bb-e12b8dd632cc,3,meal-根,root,a56186b4-c89b-42c7-97b4-ce7b4a37d979
bb579196-8b02-4b50-b1bb-e12b8dd632cc,4,meal-根,root,a56186b4-c89b-42c7-97b4-ce7b4a37d979
bb579196-8b02-4b50-b1bb-e12b8dd632cc,5,meal,word,bb579196-8b02-4b50-b1bb-e12b8dd632cc
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,1,cour,root,bb44b140-c5fb-4dc6-afed-66b979b92820
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,2,-t,suffix,902260c2-0a41-46d9-8130-90955ee5437e
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,3,cour,root,bb44b140-c5fb-4dc6-afed-66b979b92820
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,4,court,word,7f36b380-6dc9-46e4-b5ee-c90ab3b911a2
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,5,-t,suffix,902260c2-0a41-46d9-8130-90955ee5437e
23228a76-0482-4b5a-a9c0-4084908853cd,1,yard-基,base,6d4e80c8-b933-4fac-b4a2-a9cca02f3b9b
818f57a1-405d-4a86-82d2-b4f8fe024843,1,court,word,7f36b380-6dc9-46e4-b5ee-c90ab3b911a2
818f57a1-405d-4a86-82d2-b4f8fe024843,2,yard,word,23228a76-0482-4b5a-a9c0-4084908853cd
818f57a1-405d-4a86-82d2-b4f8fe024843,3,cour,root,bb44b140-c5fb-4dc6-afed-66b979b92820
818f57a1-405d-4a86-82d2-b4f8fe024843,4,-t,suffix,902260c2-0a41-46d9-8130-90955ee5437e
818f57a1-405d-4a86-82d2-b4f8fe024843,5,yard-基,base,6d4e80c8-b933-4fac-b4a2-a9cca02f3b9b
d669f094-000d-4b69-b62c-882b59b154e4,1,-or,suffix,b9fed5d5-9451-4b2d-873c-9ee4b1ce3e43
d669f094-000d-4b69-b62c-882b59b154e4,2,auth,root,c9d1c260-36df-4bac-856e-2dbb4fd3f85c
d669f094-000d-4b69-b62c-882b59b154e4,3,-or,suffix,b9fed5d5-9451-4b2d-873c-9ee4b1ce3e43
d669f094-000d-4b69-b62c-882b59b154e4,4,authoress,word,cbf725b4-677a-4256-9703-09df97fc60ac
d669f094-000d-4b69-b62c-882b59b154e4,5,authorial,word,46b3036b-cc8f-429b-aa9e-b380cfa7f1c5
d669f094-000d-4b69-b62c-882b59b154e4,6,auth,root,c9d1c260-36df-4bac-856e-2dbb4fd3f85c
d669f094-000d-4b69-b62c-882b59b154e4,7,-or,suffix,b9fed5d5-9451-4b2d-873c-9ee4b1ce3e43
d669f094-000d-4b69-b62c-882b59b154e4,8,author,word,d669f094-000d-4b69-b62c-882b59b154e4
e29ff563-e1d4-4323-85bb-af6c38dd8ccc,1,ac-,prefix,313fe2aa-9acf-4e44-b215-3d94eac8de99
e29ff563-e1d4-4323-85bb-af6c38dd8ccc,2,cord-根,root,b0af10e3-e392-41c3-bd99-77b5512782bf
e29ff563-e1d4-4323-85bb-af6c38dd8ccc,3,-ing,suffix,d56e76f7-0ba9-4b1e-9eac-a1dbe8f8c79a
91419fea-861e-4ab8-aae0-19725782dfe8,1,according,word,e29ff563-e1d4-4323-85bb-af6c38dd8ccc
91419fea-861e-4ab8-aae0-19725782dfe8,2,ac-,prefix,313fe2aa-9acf-4e44-b215-3d94eac8de99
91419fea-861e-4ab8-aae0-19725782dfe8,3,cord-根,root,b0af10e3-e392-41c3-bd99-77b5512782bf
7b8133a8-6649-427c-a979-34b206ddc2c9,1,meal,word,bb579196-8b02-4b50-b1bb-e12b8dd632cc
7b8133a8-6649-427c-a979-34b206ddc2c9,2,eat,word,dad251fe-fa3a-420a-9a47-02bb73c9083d
a9061134-fa96-4701-83b2-a2b40e1fa455,1,-es,suffix,5a0bd53d-0e4c-49f3-852e-d69d54cd8317
a9061134-fa96-4701-83b2-a2b40e1fa455,2,-tion,suffix,bd7c5c88-e726-43ca-9895-8021ca29debb
a9061134-fa96-4701-83b2-a2b40e1fa455,3,quest-根,root,7753225c-080b-4ebf-a88a-a00063672082
a9061134-fa96-4701-83b2-a2b40e1fa455,4,-ion,suffix,745bfaba-917a-406b-9d5d-ddd63b9f57a8
a9061134-fa96-4701-83b2-a2b40e1fa455,5,questionnaire,word,c945ec32-e74d-4a3a-803e-2e5e56bbd1fb
a9061134-fa96-4701-83b2-a2b40e1fa455,6,quest-根,root,7753225c-080b-4ebf-a88a-a00063672082
a9061134-fa96-4701-83b2-a2b40e1fa455,7,question,word,a9061134-fa96-4701-83b2-a2b40e1fa455
a9061134-fa96-4701-83b2-a2b40e1fa455,8,-ion,suffix,745bfaba-917a-406b-9d5d-ddd63b9f57a8
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,1,question,word,a9061134-fa96-4701-83b2-a2b40e1fa455
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,2,-ire,suffix,f0d5ef69-2dff-4220-a299-bd48999cab00
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,3,quest-根,root,7753225c-080b-4ebf-a88a-a00063672082
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,4,-ion,suffix,745bfaba-917a-406b-9d5d-ddd63b9f57a8
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,5,nai,root,78f7b995-11d1-487e-aa79-379f9d7f4622
c945ec32-e74d-4a3a-803e-2e5e56bbd1fb,6,-re,suffix,8e86ca94-b2dd-4c74-998b-c035770618ac
ed0aa2a8-4071-4e21-9031-170784ca82ba,1,pain-基,base,cce3320f-c1d5-4063-82da-8f026f56047f
ed0aa2a8-4071-4e21-9031-170784ca82ba,2,painless,word,1572145f-266b-47cd-b5d1-721437bd448e
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,1,-al,suffix,1d382467-52d4-489b-846b-a2e68c8ca9d3
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,2,loc,root,9f80b6c6-075e-4dc0-ba53-4a73b2417827
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,3,-al,suffix,1d382467-52d4-489b-846b-a2e68c8ca9d3
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,4,locality,word,21a25bc6-4352-4126-a305-c3a618d6be08
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,5,loc,root,9f80b6c6-075e-4dc0-ba53-4a73b2417827
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,6,local,word,52e57afe-8dcc-46d0-a31f-a7a10a41b9d4
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,7,-al,suffix,1d382467-52d4-489b-846b-a2e68c8ca9d3
01678d1e-cad6-4f77-8d51-3555e693184a,1,location,word,33f7ee93-c880-4a0c-8e8b-a2c646002cb8
01678d1e-cad6-4f77-8d51-3555e693184a,2,-e,suffix,e45da611-1fec-4f56-a8a1-0196540d73f8
01678d1e-cad6-4f77-8d51-3555e693184a,3,loc,root,9f80b6c6-075e-4dc0-ba53-4a73b2417827
01678d1e-cad6-4f77-8d51-3555e693184a,4,-ate,suffix,3c102dc5-d483-4b8e-bc12-9bc2c6d12cfe
01678d1e-cad6-4f77-8d51-3555e693184a,5,location,word,33f7ee93-c880-4a0c-8e8b-a2c646002cb8
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,1,-ial,suffix,7c1a13ca-e4f4-4c9e-97b0-b68b290bd929
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,2,bene,root,7c9665c2-9030-40a0-8343-73631dbfee80
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,3,fic,root,2fe3292c-d5ba-43a0-858f-3fc9ce5afeae
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,4,-ial,suffix,7c1a13ca-e4f4-4c9e-97b0-b68b290bd929
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,5,beneficially,word,49c8cbc4-8247-4243-a62c-767a8b83a2b7
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,6,bene,root,7c9665c2-9030-40a0-8343-73631dbfee80
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,7,beneficial,word,3d7384f0-021f-425e-97cb-4eeb4a0eaeb2
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,8,fic,root,2fe3292c-d5ba-43a0-858f-3fc9ce5afeae
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,9,-ial,suffix,7c1a13ca-e4f4-4c9e-97b0-b68b290bd929
3d2cb9a3-0b11-4c3e-a0b9-8ad72732ab25,1,-t,suffix,902260c2-0a41-46d9-8130-90955ee5437e
3d2cb9a3-0b11-4c3e-a0b9-8ad72732ab25,2,bene,root,7c9665c2-9030-40a0-8343-73631dbfee80
3d2cb9a3-0b11-4c3e-a0b9-8ad72732ab25,3,fit-根,root,72aab5e1-3606-4acb-b780-6ff6bc70dffb
3d2cb9a3-0b11-4c3e-a0b9-8ad72732ab25,4,-it,suffix,b618949f-f420-466d-b7c8-a834a2d20376
6cf2668e-101a-4f7a-a287-eb07614fea0b,1,pro-,prefix,40e680cb-32e4-4cff-bb9c-b17989a9fa1a
6cf2668e-101a-4f7a-a287-eb07614fea0b,2,blem,root,2295b4df-f0de-4833-8dd2-f9d63efba242
6cf2668e-101a-4f7a-a287-eb07614fea0b,3,blem,root,2295b4df-f0de-4833-8dd2-f9d63efba242
6cf2668e-101a-4f7a-a287-eb07614fea0b,4,problem,word,6cf2668e-101a-4f7a-a287-eb07614fea0b
6cf2668e-101a-4f7a-a287-eb07614fea0b,5,pro-,prefix,40e680cb-32e4-4cff-bb9c-b17989a9fa1a
149a3e48-c4aa-4e05-8b47-4a0c107b4888,1,-ic,suffix,f67d1559-f000-48f8-98c0-3feac850d691
149a3e48-c4aa-4e05-8b47-4a0c107b4888,2,eco-根,root,eb34add7-d7fd-42da-b1b5-afd423d3df8a
149a3e48-c4aa-4e05-8b47-4a0c107b4888,3,nom,root,4bb11e5f-13e5-4188-8ca3-ee99300020f4
149a3e48-c4aa-4e05-8b47-4a0c107b4888,4,-ic,suffix,f67d1559-f000-48f8-98c0-3feac850d691
